time,logger,level,database,message,exception
2016-01-18 12:56:19.2850,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  34: POST    -    96 ms -            - 200 - http://localhost:9029/queries,
2016-01-18 12:56:19.2850,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,	Raven/StudioConfig,
2016-01-18 12:56:19.2850,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  35: POST    -    72 ms -            - 200 - http://localhost:9029/queries,
2016-01-18 12:56:19.2850,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,	Raven/Alerts,
2016-01-18 12:56:19.3480,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  37: GET     -    44 ms -            - 200 - http://localhost:9029/debug/plugins,
2016-01-18 12:56:19.4100,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  38: GET     -     0 ms -            - 200 - http://localhost:9029/singleAuthToken,
2016-01-18 12:56:19.4560,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  40: GET     -   218 ms -            - 200 - http://localhost:9029/studio-tasks/latest-server-build-version?stableOnly=true&min=3000&max=3599,
2016-01-18 12:56:19.4970,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  41: GET     -    10 ms -            - 200 - http://localhost:9029/changes/events?singleUseAuthToken=433f9e49-8b94-4848-9130-8ac3c7d9adf4&id=U7s1V&coolDownWithDataLoss=0&isMultyTenantTransport=false,
2016-01-18 12:56:19.5380,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  42: GET     -     4 ms -            - 200 - http://localhost:9029/changes/config?id=U7s1V&command=watch-prefix&value=Raven%2FCounters%2F,
2016-01-18 12:56:19.5380,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  43: GET     -    16 ms -            - 200 - http://localhost:9029/changes/config?id=U7s1V&command=watch-prefix&value=Raven%2FDatabases%2F,
2016-01-18 12:56:19.5510,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  45: GET     -    11 ms -            - 200 - http://localhost:9029/changes/config?id=U7s1V&command=watch-prefix&value=Raven%2FStudioConfig,
2016-01-18 12:56:19.5510,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  46: GET     -     0 ms -            - 200 - http://localhost:9029/changes/config?id=U7s1V&command=watch-prefix&value=Raven%2FAlerts,
2016-01-18 12:56:19.5380,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  44: GET     -    10 ms -            - 200 - http://localhost:9029/changes/config?id=U7s1V&command=watch-prefix&value=Raven%2FFileSystems%2F,
2016-01-18 12:56:27.2468,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2016-01-18 12:56:32.8983,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Databases/myDB' was not found,
2016-01-18 12:56:32.9733,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Databases/myDB' was not found,
2016-01-18 12:56:32.9973,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Inserted a new document with key 'Raven/Databases/myDB', update: False, ",
2016-01-18 12:56:33.0254,Raven.Database.Server.Tenancy.AbstractLandlord`1,Info,<system>,Shutting down database myDB because the tenant database has been updated or removed,
2016-01-18 12:56:33.0384,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 1 because: PUT Raven/Databases/myDB,
2016-01-18 12:56:33.0384,Raven.Database.DocumentDatabase,Debug,<system>,Put document Raven/Databases/myDB with etag 01000000-0000-0001-0000-000000000001,
2016-01-18 12:56:33.0384,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  47: PUT     -   162 ms -            - 200 - http://localhost:9029/admin/databases/myDB,
2016-01-18 12:56:33.0384,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2016-01-18 12:56:33.0384,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2016-01-18 12:56:33.0384,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Document with key 'Raven/Databases/myDB' was found, etag: 01000000-0000-0001-0000-000000000001",
2016-01-18 12:56:33.0534,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,"Document with key 'Raven/Databases/myDB' was found, etag: 01000000-0000-0001-0000-000000000001",
2016-01-18 12:56:33.0534,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  48: GET     -    18 ms -            - 200 - http://localhost:9029/docs/Raven/Databases/myDB,
2016-01-18 12:56:33.0714,Raven.Database.DocumentDatabase,Debug,myDB,Start loading the following database: myDB,
2016-01-18 12:56:33.1594,Raven.Database.Impl.DocumentCacher,Info,myDB,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 5345640448
  PollingInterval     = 00:02:00",
2016-01-18 12:56:33.1594,Raven.Database.Storage.Esent.StorageConfigurator,Info,myDB,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2016-01-18 12:56:33.1594,Raven.Storage.Esent.TransactionalStorage,Info,myDB,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2016-01-18 12:56:34.9315,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,myDB,Document with key 'Raven/Backup/Status' was not found,
2016-01-18 12:56:34.9475,Raven.Database.DocumentDatabase,Debug,,Finish loading the following database: myDB,
2016-01-18 12:56:34.9475,Raven.Database.Indexing.WorkContext,Debug,myDB,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2016-01-18 12:56:34.9475,Raven.Database.Indexing.WorkContext,Debug,myDB,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2016-01-18 12:56:34.9475,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,myDB,Document with key 'Raven/Alerts' was not found,
2016-01-18 12:56:34.9475,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,myDB,Document with key 'Raven/Javascript/Functions' was not found,
2016-01-18 12:56:34.9475,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  49: GET     -   315 ms - myDB       - 200 - http://localhost:9029/databases/myDB/singleAuthToken,
2016-01-18 12:56:34.9475,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  51: GET     -   278 ms - myDB       - 404 - http://localhost:9029/databases/myDB/docs/Raven/Javascript/Functions,
2016-01-18 12:56:34.9475,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  50: GET     -   272 ms - myDB       - 200 - http://localhost:9029/databases/myDB/operation/alerts,
2016-01-18 12:56:34.9585,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  53: GET     -     0 ms - myDB       - 200 - http://localhost:9029/databases/myDB/singleAuthToken,
2016-01-18 12:56:34.9585,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  54: GET     -     0 ms - myDB       - 200 - http://localhost:9029/databases/myDB/changes/events?singleUseAuthToken=3233e0f9-498a-43f0-a89c-c5152b55c8c6&id=JoLNh&coolDownWithDataLoss=5000&isMultyTenantTransport=false,
2016-01-18 12:56:34.9915,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  55: GET     -     0 ms - myDB       - 200 - http://localhost:9029/databases/myDB/changes/config?id=JoLNh&command=watch-docs,
2016-01-18 12:56:34.9915,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  56: GET     -     0 ms - myDB       - 200 - http://localhost:9029/databases/myDB/changes/config?id=JoLNh&command=watch-indexes,
2016-01-18 12:56:35.0075,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  57: GET     -     0 ms - myDB       - 200 - http://localhost:9029/databases/myDB/changes/config?id=JoLNh&command=watch-bulk-operation,
2016-01-18 12:56:35.0276,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,myDB,Document with key 'IndexId1' was not found,
2016-01-18 12:56:35.2506,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  58: GET     -   296 ms - myDB       - 500 - http://localhost:9029/databases/myDB/terms/Raven/DocumentsByEntityName?field=Tag&pageSize=1024,
2016-01-18 12:56:36.2827,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,"Request #  59: GET     - 1,647 ms - myDB       - 200 - http://localhost:9029/databases/myDB/stats",
2016-01-18 12:56:36.2827,Raven.Database.Storage.IndexDefinitionStorage,Info,myDB,"New index Raven/DocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;

public class Index_Raven_DocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_DocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
select new 
{ 
	Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""], 
	LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""],
	LastModifiedTicks = ((DateTime)doc[""""@metadata""""][""""Last-Modified""""]).Ticks 
};"";
		this.AddMapDefinition(docs => 
			from doc in ((IEnumerable<dynamic>)docs)
			select new {
				Tag = doc[""@metadata""][""Raven-Entity-Name""],
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				LastModifiedTicks = ((DateTime)doc[""@metadata""][""Last-Modified""]).Ticks,
				__document_id = doc.__document_id
			});
		this.AddField(""Tag"");
		this.AddField(""LastModified"");
		this.AddField(""LastModifiedTicks"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Ticks"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Ticks"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;

public class Index_Raven_DocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_DocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
select new 
{ 
	Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""], 
	LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""],
	LastModifiedTicks = ((DateTime)doc[""""@metadata""""][""""Last-Modified""""]).Ticks 
};"";
		this.AddMapDefinition(docs => 
			from doc in ((IEnumerable<dynamic>)docs)
			select new {
				Tag = doc[""@metadata""][""Raven-Entity-Name""],
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				LastModifiedTicks = ((DateTime)doc[""@metadata""][""Last-Modified""]).Ticks,
				__document_id = doc.__document_id
			});
		this.AddField(""Tag"");
		this.AddField(""LastModified"");
		this.AddField(""LastModifiedTicks"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Ticks"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Ticks"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2016-01-18 12:56:36.3567,Raven.Database.Indexing.IndexStorage,Debug,myDB,Creating index 1 with id Raven/DocumentsByEntityName,
2016-01-18 12:56:36.4847,Raven.Database.Indexing.Index.Indexing,Debug,myDB,Creating index for 1,
2016-01-18 12:56:36.5067,Raven.Database.Indexing.WorkContext,Debug,myDB,Incremented work counter to 1 because: PUT INDEX Raven/DocumentsByEntityName,
2016-01-18 12:56:36.5167,Raven.Database.Indexing.WorkContext,Debug,myDB,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2016-01-18 12:56:36.5167,Raven.Database.Indexing.WorkContext,Debug,myDB,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2016-01-18 12:56:36.5517,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  62: GET     -    21 ms - myDB       - 200 - http://localhost:9029/databases/myDB/terms/Raven/DocumentsByEntityName?field=Tag&pageSize=1024,
2016-01-18 12:56:36.5517,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  63: GET     -     1 ms - myDB       - 304 - http://localhost:9029/databases/myDB/terms/Raven/DocumentsByEntityName?field=Tag&pageSize=1024,
2016-01-18 12:56:36.5517,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  64: GET     -    26 ms - myDB       - 200 - http://localhost:9029/databases/myDB/stats,
2016-01-18 12:56:36.5517,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  65: GET     -     0 ms - myDB       - 200 - http://localhost:9029/databases/myDB/stats,
2016-01-18 12:56:36.5827,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  66: POST    -    25 ms - myDB       - 200 - http://localhost:9029/databases/myDB/multi_get?parallel=yes,
2016-01-18 12:56:36.5827,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  67: POST    -    25 ms - myDB       - 200 - http://localhost:9029/databases/myDB/multi_get?parallel=yes,
2016-01-18 12:56:36.6077,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,myDB,Document with key 'Raven/Studio/Columns/AllDocuments' was not found,
2016-01-18 12:56:36.6077,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  68: POST    -     0 ms - myDB       - 200 - http://localhost:9029/databases/myDB/queries,
2016-01-18 12:56:36.6077,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,	Raven/Studio/Columns/AllDocuments,
2016-01-18 12:56:36.6737,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  69: GET     -    12 ms - myDB       - 200 - http://localhost:9029/databases/myDB/docs?start=0&pageSize=32,
2016-01-18 12:56:36.7247,Raven.Database.Indexing.Index.Querying,Debug,myDB,Issuing query on index 1 for all documents,
2016-01-18 12:56:36.7457,Raven.Database.Server.Controllers.RavenBaseApiController,Debug,myDB,"	Query: 
	Time: 59 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 0 total.
	Timing:
",
2016-01-18 12:56:36.7557,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request #  70: GET     -    88 ms - myDB       - 200 - http://localhost:9029/databases/myDB/indexes/Raven/DocumentsByEntityName?query=&start=0&pageSize=0,
2016-01-18 12:56:36.7557,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,"	Query: 
	Time: 59 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 0 total.
	Timing:",
2016-01-18 12:56:57.2628,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2016-01-18 12:57:04.9385,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,myDB,Performing Transactions Cleanup Sequence for db myDB,
2016-01-18 12:57:27.2788,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2016-01-18 12:57:34.9545,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,myDB,Performing Transactions Cleanup Sequence for db myDB,
2016-01-18 12:57:57.2948,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2016-01-18 12:58:04.9705,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,myDB,Performing Transactions Cleanup Sequence for db myDB,
2016-01-18 12:58:27.3108,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2016-01-18 12:58:34.9865,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,myDB,Performing Transactions Cleanup Sequence for db myDB,
2016-01-18 12:58:48.3629,Raven.Database.Server.Controllers.RavenBaseApiController,Debug,myDB,"	PUT clients/1
",
2016-01-18 12:58:48.4049,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,myDB,"Inserted a new document with key 'clients/1', update: False, ",
2016-01-18 12:58:48.4049,Raven.Database.DocumentDatabase,Debug,myDB,Put document clients/1 with etag 01000000-0000-0001-0000-000000000001,
2016-01-18 12:58:48.4049,Raven.Database.Indexing.WorkContext,Debug,myDB,Incremented work counter to 2 because: PUT clients/1,
2016-01-18 12:58:48.4259,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request # 162: POST    -    81 ms - myDB       - 200 - http://localhost:9029/databases/myDB/bulk_docs,
2016-01-18 12:58:48.4499,Raven.Database.Indexing.WorkContext,Debug,myDB,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2016-01-18 12:58:48.4499,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,myDB,"Document with key 'clients/1' was found, etag: 01000000-0000-0001-0000-000000000001",
2016-01-18 12:58:48.4499,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request # 163: GET     -    24 ms - myDB       - 200 - http://localhost:9029/databases/myDB/stats,
2016-01-18 12:58:48.4499,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request # 164: POST    -     8 ms - myDB       - 200 - http://localhost:9029/databases/myDB/queries,
2016-01-18 12:58:48.4499,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,	clients/1,
2016-01-18 12:58:48.5229,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,myDB,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000: (clients/1),
2016-01-18 12:58:48.5559,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,myDB,"After read triggers executed, 1 documents remained",
2016-01-18 12:58:48.5619,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,myDB,"Going to index 1 documents in IndexId: 1, LastIndexedEtag: 00000000-0000-0000-0000-000000000000: (clients/1)",
2016-01-18 12:58:48.5619,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,myDB,Indexing 1 documents for index: Raven/DocumentsByEntityName. (clients/1),
2016-01-18 12:58:48.7039,Raven.Database.Indexing.Index.Indexing,Debug,myDB,"Indexing on clients/1 result in index 1 gave document: 	__document_id IS: clients/1
	Tag I-: clients
	LastModified I-: 2016-01-18T17:58:48.4049383Z
	LastModifiedTicks I-: 635887367284049383
",
2016-01-18 12:58:48.8529,Raven.Database.Indexing.Index.Indexing,Debug,myDB,Indexed 1 documents for 1,
2016-01-18 12:58:48.8549,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,myDB,"After indexing 1 documents, the new last etag for is: 01000000-0000-0001-0000-000000000001 for Raven/DocumentsByEntityName",
2016-01-18 12:58:48.8769,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 3 because: WORK BY IndexingExecuter,
2016-01-18 12:58:48.8769,Raven.Database.Indexing.WorkContext,Debug,myDB,"No work was found, workerWorkCounter: 3, for: ReducingExecuter, will wait for additional work",
2016-01-18 12:58:48.9119,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 3, for: IndexingExecuter, will wait for additional work",
2016-01-18 12:58:53.8664,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request # 176: GET     -    13 ms - myDB       - 200 - http://localhost:9029/databases/myDB/stats,
2016-01-18 12:58:57.3268,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2016-01-18 12:59:04.2525,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 180: GET     -     0 ms -            - 200 - http://localhost:9029/singleAuthToken,
2016-01-18 12:59:04.2705,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 182: GET     -     0 ms -            - 500 - http://localhost:9029/changes/websocket?singleUseAuthToken=c0841df3-1f65-4897-b3b0-311f888600b5&id=2GMjd&coolDownWithDataLoss=0&isMultyTenantTransport=false,
2016-01-18 12:59:04.2705,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 183: GET     -     0 ms -            - 200 - http://localhost:9029/singleAuthToken,
2016-01-18 12:59:04.2905,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 185: GET     -     0 ms -            - 200 - http://localhost:9029/studio-tasks/server-configs,
2016-01-18 12:59:04.3415,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 186: GET     -    48 ms -            - 200 - http://localhost:9029/fs?pageSize=1024&getAdditionalData=true,
2016-01-18 12:59:04.3485,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 187: GET     -    56 ms -            - 200 - http://localhost:9029/databases?pageSize=1024&getAdditionalData=true,
2016-01-18 12:59:04.3735,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/StudioConfig' was not found,
2016-01-18 12:59:04.3735,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 188: POST    -     0 ms -            - 200 - http://localhost:9029/queries,
2016-01-18 12:59:04.3735,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,	Raven/StudioConfig,
2016-01-18 12:59:04.3735,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 189: GET     -     0 ms -            - 200 - http://localhost:9029/build/version,
2016-01-18 12:59:04.3785,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Alerts' was not found,
2016-01-18 12:59:04.3785,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 191: GET     -     0 ms -            - 200 - http://localhost:9029/license/status,
2016-01-18 12:59:04.3785,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 192: POST    -     0 ms -            - 200 - http://localhost:9029/queries,
2016-01-18 12:59:04.3785,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,	Raven/Alerts,
2016-01-18 12:59:04.3935,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request # 193: GET     -     0 ms - myDB       - 200 - http://localhost:9029/databases/myDB/singleAuthToken,
2016-01-18 12:59:04.3935,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 194: GET     -     0 ms -            - 200 - http://localhost:9029/changes/events?singleUseAuthToken=0b8b41d9-0e6f-44e8-bb0e-2ff230ef2996&id=2GMjd&coolDownWithDataLoss=0&isMultyTenantTransport=false,
2016-01-18 12:59:04.3935,Raven.Database.Server.WebApi.RequestManager,Debug,myDB,Request # 195: GET     -     7 ms - myDB       - 200 - http://localhost:9029/databases/myDB/stats,
2016-01-18 12:59:04.4295,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 200: GET     -     0 ms -            - 200 - http://localhost:9029/changes/config?id=2GMjd&command=watch-prefix&value=Raven%2FDatabases%2F,
2016-01-18 12:59:04.4405,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 201: GET     -     0 ms -            - 200 - http://localhost:9029/changes/config?id=2GMjd&command=watch-prefix&value=Raven%2FFileSystems%2F,
2016-01-18 12:59:04.4405,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 202: GET     -     0 ms -            - 200 - http://localhost:9029/changes/config?id=2GMjd&command=watch-prefix&value=Raven%2FCounters%2F,
2016-01-18 12:59:04.4405,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request # 203: GET     -     0 ms -            - 200 - http://localhost:9029/changes/config?id=2GMjd&command=watch-prefix&value=Raven%2FStudioConfig,
